,FileName,Concentration,Probe,Temp,Tip radius_mean,Tip radius_std,ROI,InterphaseThickness,ForceSetpoint,group,Link,Farfieldcontactradius(Schwarz),Point,Z Rate,RelativeInterphaseThickness,Depth,calc_depth,k,a_hat,d_hat,thermal Q,f,k,
173,0.0_NCH_80_75_03,0,NCH,80,300,10,700,0,75,100,0.0_NCH_80_75_03,185.2268955,128,250,0,59.19075775,45.9600614,40,2.196494687,2.404399006,,,,
174,5.0_HQ300_80_75_02,5,HQ300,80,15,3,700,150,75,100,5.0_HQ300_80_75_02,39.81632314,128,250,2.511532761,67.41464233,60.10795944,26,2.446746076,3.432225699,,,,
175,5.0_HQ300_80_75_03,5,HQ300,80,15,3,700,150,75,100,5.0_HQ300_80_75_03,40.334683,128,250,2.47925588,74.97457886,70.42456522,26,2.668268185,4.452187803,,,,
176,5.0_HQ300_80_75_04,5,HQ300,80,15,3,700,150,75,100,5.0_HQ300_80_75_04,42.19514029,128,250,2.369941166,64.4513092,58.47113733,26,2.263807306,2.667829525,,,,
176,5.0_HQ300_80_75_05,5,HQ300,80,15,3,596,150,75,100,5.0_HQ300_80_75_05,38.746645,109,250,2.580868615,61.68731308,53.82907917,26,2.363757207,3.076700297,,,,
177,5.0_HQ30030_80_75_03,5,HQ30030,80,40,3,700,150,75,100,5.0_HQ30030_80_75_03,60.99334064,128,250,1.639523249,56.79077148,42.70880384,40,2.193325321,2.392232762,,,,
178,5.0_NCH_80_75_03,5,NCH,80,300,10,700,150,75,100,5.0_NCH_80_75_03,196.1237914,128,250,0.509882046,63.81474304,50.09052326,40,2.147388083,2.218292457,,,,
179,0.0_NCH_80_50_04,0,NCH,80,300,10,2000,0,50,100,0.0_NCH_80_50_04,159.3381526,128,250,0,42.09449768,33.97571818,40,2.202430016,2.42724038,,,,
180,0.0_NCH_80_75_04,0,NCH,80,300,10,2000,0,75,100,0.0_NCH_80_75_04,165.5266578,128,250,0,47.87707138,39.39403458,40,2.264956295,2.672409584,,,,
181,0.0_NCH_80_100_02,0,NCH,80,300,10,2000,0,100,100,0.0_NCH_80_100_02,169.9953291,128,250,0,51.01174164,42.76181288,40,2.286917177,2.760487025,,,,
182,0.0_NCH_80_50_05,0,NCH,80,300,10,2000,0,50,100,0.0_NCH_80_50_05,162.9973547,256,250,0,44.87481689,34.3360456,40,2.185147401,2.360938813,,,,
183,0.0_NCH_80_75_05,0,NCH,80,300,10,2050,0,75,100,0.0_NCH_80_75_05,174.6128139,256,250,0,52.68056107,41.3417905,40,2.218268526,2.48855927,,,,
184,0.0_NCH_80_100_03,0,NCH,80,300,10,2000,0,100,100,0.0_NCH_80_100_03,179.3987718,256,250,0,56.82601166,45.35522839,40,2.248205722,2.605916101,,,,
185,0.0_HQ30030_80_50_05,0,HQ30030,80,40,3,1000,0,50,100,0.0_HQ30030_80_50_05,49.40914106,128,250,0,31.75903893,27.47165904,40,2.147483853,2.218650416,,,,
186,0.0_HQ30030_80_75_05,0,HQ30030,80,40,3,1000,0,75,100,0.0_HQ30030_80_75_05,50.56040875,128,250,0,35.07839966,30.91970081,40,2.210685803,2.45913622,,,,
187,0.0_HQ30030_80_100_03,0,HQ30030,80,40,3,1000,0,100,100,0.0_HQ30030_80_100_03,50.67419895,128,250,0,36.77440262,32.73091332,40,2.269350125,2.689949923,,,,
194,240124_0.0_HQ300_80_50_500,0,HQ300,80,14.23,3.192141392,500,0,50,101,240124_0.0_HQ300_80_50_500,29.25512075,128,250,0,36.18836212,36.14179159,32.577,2.255738693,2.635745549,,,,
195,240124_0.0_HQ300_80_75_500,0,HQ300,80,14.23,3.192141392,500,0,75,101,240124_0.0_HQ300_80_75_500,31.64900215,128,250,0,44.26418304,43.28417518,32.577,2.321479086,2.901171318,,,,
196,240124_0.0_HQ300_80_100_500,0,HQ300,80,14.23,3.192141392,500,0,100,101,240124_0.0_HQ300_80_100_500,33.17743113,128,250,0,50.59913635,48.72382131,32.577,2.383966351,3.161938069,,,,
197,240124_0.0_HQ30030_80_50_500,0,HQ30030,80,25.215,7.433,500,0,50,101,240124_0.0_HQ30030_80_50_500,45.79430339,128,250,0,45.43465424,44.04607977,50.478,2.348461999,3.012761957,,,,
198,240124_0.0_HQ30030_80_75_500,0,HQ30030,80,25.215,7.433,500,0,75,101,240124_0.0_HQ30030_80_75_500,45.64524461,128,250,0,53.90291977,43.15875104,50.478,2.371163751,3.107839371,,,,
199,240124_0.0_HQ30030_80_100_500,0,HQ30030,80,25.215,7.433,500,0,100,101,240124_0.0_HQ30030_80_100_500,49.38804142,128,250,0,36.04524994,36.60356163,50.478,2.197713739,2.409084269,,,,
200,240124_2.5_HQ300_80_50_500,2.5,HQ300,80,12.18,1.110315271,500,50,50,101,240124_2.5_HQ300_80_50_500,31.9006101,128,250,1.567368142,71.69099426,69.55409799,29.682,2.672078138,4.470630545,,,,
201,240124_2.5_HQ300_80_75_500,2.5,HQ300,80,12.18,1.110315271,500,50,75,101,240124_2.5_HQ300_80_75_500,34.67900426,128,250,1.441794569,88.2407074,84.79518627,29.682,2.845287566,5.341131699,,,,
202,240124_2.5_HQ300_80_100_500,2.5,HQ300,80,12.18,1.110315271,500,50,100,101,240124_2.5_HQ300_80_100_500,34.46731691,128,250,1.450649615,94.46168518,89.80584106,29.682,3.225651559,7.471956093,,,,
203,240124_2.5_HQ30030_80_50_500,2.5,HQ30030,80,25.39,3.268642685,500,50,50,101,240124_2.5_HQ30030_80_50_500,45.10121322,128,250,1.108617627,68.65418243,94.20297255,30.597,2.805042626,5.133284488,,,,
204,240124_2.5_HQ30030_80_75_500,2.5,HQ30030,80,25.39,3.268642685,500,50,75,101,240124_2.5_HQ30030_80_75_500,49.34905119,128,250,1.013190706,86.9916687,118.8557055,30.597,3.003723166,6.192171162,,,,
205,240124_2.5_HQ30030_80_100_500,2.5,HQ30030,80,25.39,3.268642685,500,50,100,101,240124_2.5_HQ30030_80_100_500,52.61580821,128,250,0.950284747,100.1531067,136.7487075,30.597,3.048709905,6.443335349,,,,
206,240124_5.0_HQ300_80_50_500,5,HQ300,80,16.7325,1.901865312,500,150,50,101,240124_5.0_HQ300_80_50_500,36.74517183,128,250,2.721445976,53.25901794,55.59222339,30.777,2.237093427,2.562132812,,,,
207,240124_5.0_HQ300_80_75_500,5,HQ300,80,16.7325,1.901865312,500,150,75,101,240124_5.0_HQ300_80_75_500,40.59580772,128,250,2.463308544,67.86508179,69.14982176,30.777,2.307078019,2.842244484,,,,
208,240124_5.0_HQ300_80_100_500,5,HQ300,80,16.7325,1.901865312,500,150,100,101,240124_5.0_HQ300_80_100_500,42.05643088,128,250,2.377757644,81.05427551,79.802953,30.777,2.464031656,3.508104369,,,,
209,240124_5.0_HQ30030_80_50_500,5,HQ30030,80,26.81,3.697066405,500,150,50,101,240124_5.0_HQ30030_80_50_500,39.06194786,128,250,2.560036185,47.84992218,48.5347762,48.527,2.248171859,2.605782282,,,,
